id,nome_funcionario,sexo,departamento,data_admissao,salario,cargo,localizacao,pais
304,Mccoy,Feminino,Books,2007-05-26,77486,Community Outreach Specialist,Norte,Brasil
305,Johnson,Masculino,Eletronicos,2013-11-20,135001,Recruiting Manager,Norte,Brasil
306,Sanders,Masculino,BebÃªs,2008-11-10,52171,Data Coordiator,Sudeste,Brasil
307,Cunningham,Feminino,Jardim,2006-06-22,139302,Engineer IV,British Columbia,Canada
308,Lynch,Feminino,SaÃºde,2000-08-09,126683,Librarian,Norte,Brasil
309,Riley,Masculino,Esporte,2006-07-04,143781,Product Engineer,Norte,Brasil
310,Ray,Masculino,Books,2008-03-05,51761,Cost Accountant,British Columbia,Canada
311,Lane,Masculino,CalÃ§ados,2011-05-26,45463,Marketing Manager,British Columbia,Canada
312,Jordan,Feminino,Roupas,2003-11-15,133498,Nuclear Power Engineer,Nova Scotia,Canada
313,Gibson,Feminino,Lar,2011-03-21,81273,SaÃºde Coach II,Norte,Brasil
314,Elliott,Masculino,Computadores,2008-02-27,77921,Environmental Specialist,Nova Scotia,Canada
315,Smith,Masculino,Games,2012-07-25,59580,General Manager,Sudeste,Brasil
316,Peters,Masculino,Esporte,2010-09-16,40418,VP Marketing,Sudeste,Brasil
317,Tucker,Masculino,AlimentÃ­cios,2004-08-05,104844,Structural Analysis Engineer,Sul,Brasil
318,Moore,Masculino,Computadores,2003-04-27,139304,Help Desk Technician,Sul,Brasil
319,Crawford,Feminino,Lar,2011-12-20,140996,Software Engineer IV,Sul,Brasil
320,Gilbert,Masculino,Jardim,2010-04-12,52430,Assistant Media Planner,British Columbia,Canada
321,Wheeler,Feminino,Books,2001-08-24,145284,Information Systems Manager,Nova Scotia,Canada
322,Marshall,Masculino,Computadores,2013-11-07,66063,Web Designer III,Sudeste,Brasil
323,Robinson,Masculino,Eletronicos,2008-04-10,134422,Occupational Therapist,Norte,Brasil
324,Stevens,Feminino,Computadores,2012-05-19,106229,Research Associate,Norte,Brasil
325,Wright,Feminino,Roupas,2012-05-13,107727,Computer Systems Analyst I,Sudeste,Brasil
326,Castillo,Feminino,Joalheria,2007-12-12,130188,Social Worker,Sul,Brasil
327,Edwards,Masculino,Automotivo,2002-10-04,140194,Programmer IV,British Columbia,Canada
328,Hanson,Feminino,Computadores,2005-01-06,58719,Media Manager I,Norte,Brasil
329,Mccoy,Feminino,CalÃ§ados,2004-07-27,86803,Administrative Assistant III,Norte,Brasil
330,Dunn,Masculino,Industrial,2010-06-23,68334,Administrative Officer,Nova Scotia,Canada
331,Hudson,Feminino,Esporte,2008-12-23,91906,Food Chemist,Norte,Brasil
332,Garza,Feminino,Games,2006-12-20,48064,Office Assistant II,British Columbia,Canada
333,Garza,Masculino,Industrial,2004-06-30,75281,Data Coordiator,Nova Scotia,Canada
334,Mills,Masculino,Industrial,2009-03-24,91659,VP Accounting,Norte,Brasil
335,Gilbert,Feminino,Esporte,2001-10-03,52792,Pharmacist,Sudeste,Brasil
336,Campbell,Feminino,Lar,2001-08-30,40415,Food Chemist,Norte,Brasil
337,Spencer,Masculino,Filmes,2008-06-16,83256,Senior Editor,British Columbia,Canada
338,Garrett,Feminino,Eletronicos,2012-12-30,145181,Programmer Analyst III,Nordeste,Brasil
339,Hudson,Feminino,Joalheria,2004-07-23,78294,Software Consultant,Norte,Brasil
340,Williams,Masculino,Eletronicos,2007-07-03,90120,Biostatistician I,Sudeste,Brasil
341,Ellis,Masculino,Lar,2008-09-24,80284,VP Accounting,Sul,Brasil
342,Carroll,Feminino,CalÃ§ados,2009-07-26,85511,Business Systems Development Analyst,British Columbia,Canada
343,Long,Feminino,Brinquedos,2008-06-13,40138,Payment Adjustment Coordinator,Quebec,Canada
344,Owens,Masculino,Books,2010-06-17,42714,Electrical Engineer,Nova Scotia,Canada
345,Perez,Masculino,MÃºsica,2005-06-21,65767,Programmer Analyst I,Norte,Brasil
346,Freeman,Feminino,CrianÃ§as,2013-02-13,149351,Design Engineer,Nova Scotia,Canada
347,Frazier,Feminino,Ferramentas,2012-01-03,88470,Associate Professor,Nordeste,Brasil
348,Thomas,Feminino,Eletronicos,2009-11-26,90317,SaÃºde Coach I,Norte,Brasil
349,Crawford,Masculino,Jardim,2012-10-10,142149,Compensation Analyst,Sudeste,Brasil
350,Hawkins,Masculino,Eletronicos,2000-05-21,144073,Programmer I,Nordeste,Brasil
351,Fuller,Feminino,Books,2001-08-17,54410,Programmer Analyst II,Nova Scotia,Canada
352,Moreno,Masculino,Lar,2000-06-28,107907,Financial Advisor,British Columbia,Canada
353,Gonzales,Feminino,Lar,2010-07-10,91249,Mechanical Systems Engineer,Sudeste,Brasil
354,Hudson,Masculino,Outdoors,2005-12-20,78478,Compensation Analyst,British Columbia,Canada
355,Murray,Masculino,Esporte,2005-07-07,48812,Human Resources Assistant III,Nova Scotia,Canada
356,Stephens,Feminino,AlimentÃ­cios,2000-04-27,147440,Sales Associate,Sudeste,Brasil
357,Reynolds,Masculino,Outdoors,2003-05-18,87978,Senior Financial Analyst,Nordeste,Brasil
358,Gutierrez,Masculino,Automotivo,2002-06-17,67800,Desktop Support Technician,Sudeste,Brasil
359,Tucker,Masculino,BebÃªs,2010-05-14,42944,Tax Accountant,Sul,Brasil
360,Jenkins,Feminino,Automotivo,2004-07-18,84356,Marketing Assistant,Sudeste,Brasil
361,Rice,Feminino,Jardim,2006-12-06,144724,Senior Quality Engineer,Nova Scotia,Canada
362,Burke,Masculino,AlimentÃ­cios,2003-09-08,147290,Analyst Programmer,Quebec,Canada
363,Hall,Masculino,Automotivo,2001-12-28,83177,Community Outreach Specialist,Sul,Brasil
364,Ryan,Masculino,SaÃºde,2014-05-31,83252,Civil Engineer,Sul,Brasil
365,Gonzales,Masculino,Roupas,2000-08-30,127393,Help Desk Technician,Nova Scotia,Canada
366,Jacobs,Masculino,Industrial,2006-01-29,67186,Research Nurse,Nordeste,Brasil
367,Ramos,Feminino,Beleza,2002-03-05,102361,Computer Systems Analyst III,British Columbia,Canada
368,Rivera,Feminino,CrianÃ§as,2001-08-15,60688,Paralegal,Nordeste,Brasil
369,Lawrence,Feminino,Eletronicos,2013-04-24,44704,Data Coordiator,Sudeste,Brasil
370,Austin,Masculino,Lar,2002-01-09,110627,Teacher,Nova Scotia,Canada
371,Sims,Masculino,Esporte,2000-06-04,127223,Operator,British Columbia,Canada
372,Harper,Feminino,CrianÃ§as,2001-08-31,96163,Safety Technician IV,Sul,Brasil
373,Sims,Masculino,Joalheria,2012-04-24,86524,Developer IV,British Columbia,Canada
374,Mcdonald,Feminino,BebÃªs,2005-09-19,141464,Programmer IV,Norte,Brasil
375,Hudson,Feminino,Industrial,2014-08-27,88029,Help Desk Operator,Norte,Brasil
376,Harper,Masculino,Lar,2007-03-21,47281,VP Quality Control,Quebec,Canada
377,Alexander,Feminino,Eletronicos,2002-01-15,93245,funcionarios Scientist,Nordeste,Brasil
378,Nichols,Masculino,Automotivo,2012-07-30,110589,Cost Accountant,Nova Scotia,Canada
379,Hicks,Masculino,Joalheria,2003-04-03,63735,VP Accounting,Quebec,Canada
380,Turner,Feminino,Industrial,2013-11-23,91182,Compensation Analyst,British Columbia,Canada
381,Welch,Masculino,MÃºsica,2012-09-09,133007,Software Test Engineer I,Nova Scotia,Canada
382,Payne,Feminino,Lar,2012-08-10,92879,Nurse,Sudeste,Brasil
383,Young,Masculino,Roupas,2002-12-10,104079,Systems Administrator IV,Norte,Brasil
384,Butler,Feminino,Beleza,2005-11-01,63918,Structural Engineer,Norte,Brasil
385,Carroll,Feminino,Automotivo,2011-05-02,128885,Office Assistant III,British Columbia,Canada
386,Griffin,Masculino,Games,2011-02-27,140567,Research Associate,Sudeste,Brasil
387,Burke,Feminino,Jardim,2003-08-09,95726,Registered Nurse,Norte,Brasil
388,Kelley,Feminino,MÃºsica,2008-01-24,84261,Senior Editor,British Columbia,Canada
389,Ortiz,Masculino,BebÃªs,2013-06-22,42924,Marketing Assistant,Sudeste,Brasil
390,Olson,Masculino,Computadores,2008-09-14,86670,Web Designer II,Sudeste,Brasil
391,White,Feminino,Roupas,2003-11-04,147702,VP Quality Control,Norte,Brasil
392,Peters,Feminino,Beleza,2013-02-02,132470,Database Administrator II,Quebec,Canada
393,Sullivan,Feminino,MÃºsica,2000-09-11,63341,Research Associate,Nova Scotia,Canada
394,Washington,Feminino,Beleza,2002-10-23,91651,Employee Accountant III,Norte,Brasil
395,Ward,Masculino,BebÃªs,2013-09-11,48927,Sales Representative,Quebec,Canada
396,Kelly,Feminino,CrianÃ§as,2013-11-17,143433,Web Developer II,Nordeste,Brasil
397,Martin,Masculino,Brinquedos,2006-10-02,81998,Product Engineer,British Columbia,Canada
398,Cooper,Feminino,Lar,2001-05-08,68584,Quality Engineer,Sudeste,Brasil
399,Holmes,Feminino,Computadores,2009-07-04,88216,Accountant III,Sul,Brasil
400,Harrison,Masculino,SaÃºde,2011-12-24,86046,Nuclear Power Engineer,British Columbia,Canada
401,Parker,Feminino,Outdoors,2008-03-05,148906,Project Manager,British Columbia,Canada
402,Marshall,Feminino,Roupas,2007-11-10,93266,Recruiter,Nova Scotia,Canada
403,Chapman,Feminino,Lar,2002-03-09,69702,Food Chemist,Nordeste,Brasil
404,Harvey,Feminino,Outdoors,2010-12-28,43366,Administrative Assistant IV,Norte,Brasil
405,Morgan,Masculino,Industrial,2005-05-19,101945,Web Developer I,Sudeste,Brasil
406,Foster,Masculino,Brinquedos,2003-02-01,54007,Geological Engineer,British Columbia,Canada
407,Vasquez,Masculino,BebÃªs,2013-04-09,54704,Analog Circuit Design manager,Sul,Brasil
408,Moore,Feminino,Computadores,2007-11-13,93954,Project Manager,British Columbia,Canada
409,Williams,Feminino,Lar,2007-04-22,58235,Analog Circuit Design manager,Quebec,Canada
410,Harris,Feminino,Ferramentas,2012-01-07,148940,Senior Financial Analyst,Quebec,Canada
411,Hayes,Masculino,CrianÃ§as,2003-04-09,110615,Paralegal,Quebec,Canada
412,Vasquez,Masculino,Joalheria,2012-01-14,94596,Web Developer I,Nordeste,Brasil
413,Brooks,Feminino,SaÃºde,2008-09-19,94502,Executive Secretary,Nordeste,Brasil
414,Peterson,Masculino,Games,2011-08-10,72505,Registered Nurse,Sul,Brasil
415,Holmes,Masculino,Brinquedos,2001-06-18,147150,Analog Circuit Design manager,Quebec,Canada
416,Butler,Feminino,Beleza,2002-02-09,66313,Food Chemist,British Columbia,Canada
417,Hanson,Masculino,Eletronicos,2002-11-04,97372,Systems Administrator I,Quebec,Canada
418,Morales,Feminino,Lar,2013-10-02,149598,VP Product Management,Sul,Brasil
419,Dixon,Masculino,SaÃºde,2008-02-22,104224,Clinical Specialist,British Columbia,Canada
420,Henry,Feminino,Ferramentas,2007-09-24,95583,Civil Engineer,Sudeste,Brasil
421,Harper,Feminino,MÃºsica,2001-01-05,92043,Assistant Manager,Sul,Brasil
422,Torres,Feminino,Computadores,2009-09-17,118307,Employee Accountant II,Nordeste,Brasil
423,Walker,Feminino,Joalheria,2011-05-11,145281,VP Accounting,Norte,Brasil
424,Berry,Feminino,Lar,2013-08-20,148640,Internal Auditor,Norte,Brasil
425,Carpenter,Feminino,Computadores,2000-09-07,125523,Financial Advisor,Nova Scotia,Canada
426,Graham,Masculino,CrianÃ§as,2009-01-12,49503,Occupational Therapist,British Columbia,Canada
427,Clark,Feminino,Esporte,2000-09-10,146611,Systems Administrator III,Nova Scotia,Canada
428,Schmidt,Feminino,Esporte,2012-02-08,125465,Teacher,Nordeste,Brasil
429,Ortiz,Feminino,Roupas,2003-01-23,75024,Structural Analysis Engineer,Quebec,Canada
430,Hall,Masculino,Esporte,2011-10-25,60793,Registered Nurse,Nova Scotia,Canada
431,Bishop,Feminino,Ferramentas,2010-06-06,110744,Accountant I,Sudeste,Brasil
432,Murphy,Feminino,Joalheria,2006-08-21,46653,Registered Nurse,Norte,Brasil
433,Parker,Masculino,Games,2014-05-04,114919,Database Administrator III,Nova Scotia,Canada
434,Lee,Feminino,Computadores,2000-07-24,98733,Payment Adjustment Coordinator,Norte,Brasil
435,Ellis,Feminino,SaÃºde,2008-08-23,139775,Chemical Engineer,Nordeste,Brasil
436,Bishop,Feminino,Joalheria,2005-05-10,69559,Programmer Analyst III,Sul,Brasil
437,Roberts,Masculino,Filmes,2007-07-10,48934,Electrical Engineer,Quebec,Canada
438,Moreno,Masculino,AlimentÃ­cios,2014-04-25,79980,Recruiter,British Columbia,Canada
439,Boyd,Masculino,Roupas,2002-04-01,108854,Senior Editor,Norte,Brasil
440,Murphy,Masculino,Books,2007-01-23,128105,Help Desk Technician,Nova Scotia,Canada
441,Bailey,Masculino,Books,2008-06-10,71676,GIS Technical Architect,Norte,Brasil
442,Bryant,Feminino,MÃºsica,2007-09-11,139347,Data Coordiator,Nordeste,Brasil
443,Powell,Feminino,Industrial,2002-02-28,80491,GIS Technical Architect,Nova Scotia,Canada
444,Ferguson,Feminino,Ferramentas,2010-12-30,119385,Assistant Media Planner,Norte,Brasil
445,Greene,Masculino,Brinquedos,2002-03-23,149835,Geologist III,Nordeste,Brasil
446,Kennedy,Feminino,SaÃºde,2008-12-02,80137,Business Systems Development Analyst,Sudeste,Brasil
447,Brooks,Masculino,Lar,2000-08-25,79724,Developer IV,Nova Scotia,Canada
448,Brooks,Masculino,Books,2009-06-25,102458,Occupational Therapist,Nordeste,Brasil
449,Gray,Feminino,Roupas,2014-04-20,134205,Biostatistician I,Norte,Brasil
450,Morgan,Feminino,Beleza,2004-05-21,76052,Technical Writer,British Columbia,Canada
451,Robinson,Feminino,MÃºsica,2004-11-17,144608,Research Associate,Norte,Brasil
452,Kennedy,Feminino,Brinquedos,2000-05-10,111072,Senior Quality Engineer,Norte,Brasil
453,Anderson,Masculino,Automotivo,2010-01-24,126485,Computer Systems Analyst I,Quebec,Canada
454,Price,Feminino,BebÃªs,2006-09-22,96388,Graphic Designer,Quebec,Canada
455,Hawkins,Feminino,Automotivo,2002-06-13,115506,Product Engineer,Sudeste,Brasil
456,Watson,Feminino,Industrial,2012-03-10,115679,Editor,Sudeste,Brasil
457,Cole,Feminino,Joalheria,2001-12-11,133040,Research Associate,Quebec,Canada
458,Little,Feminino,Filmes,2000-05-14,91660,Research Assistant I,British Columbia,Canada
459,Robertson,Feminino,Computadores,2009-09-20,136406,Chemical Engineer,Nova Scotia,Canada
460,Sanchez,Masculino,Automotivo,2005-04-28,146167,Assistant Professor,British Columbia,Canada
461,Lane,Feminino,Books,2003-04-04,94299,Media Manager III,Norte,Brasil
462,Perry,Masculino,Industrial,2004-07-31,56382,Executive Secretary,Sul,Brasil
463,Mason,Masculino,Ferramentas,2010-12-21,120160,Database Administrator II,Sul,Brasil
464,Brooks,Feminino,CalÃ§ados,2008-04-23,77060,Marketing Manager,Sul,Brasil
465,White,Masculino,Computadores,2007-10-17,122540,Administrative Officer,Sudeste,Brasil
466,Carroll,Feminino,Games,2008-05-29,128562,Senior Developer,Nova Scotia,Canada
467,Ford,Feminino,Esporte,2002-03-15,60674,Software Engineer I,Sul,Brasil
468,Ross,Masculino,Joalheria,2005-04-16,93609,Environmental Specialist,Quebec,Canada
469,Hicks,Feminino,CrianÃ§as,2010-08-08,97913,Occupational Therapist,Sul,Brasil
470,Rice,Feminino,AlimentÃ­cios,2005-08-13,108380,Data Coordiator,British Columbia,Canada
471,Lewis,Feminino,BebÃªs,2007-11-16,50448,Database Administrator III,Norte,Brasil
472,Arnold,Feminino,Books,2012-02-25,133781,Office Assistant I,Norte,Brasil
473,Jordan,Feminino,Books,2009-11-14,90409,Research Assistant II,Sul,Brasil
474,Reed,Masculino,Jardim,2004-01-07,144953,Registered Nurse,Nova Scotia,Canada
475,Jenkins,Masculino,Outdoors,2001-12-22,46072,Nurse,Sudeste,Brasil
476,Matthews,Masculino,Books,2012-02-01,119602,Actuary,British Columbia,Canada
477,Gonzalez,Masculino,Computadores,2010-10-17,122231,Director of Sales,British Columbia,Canada
478,Mason,Masculino,Esporte,2003-04-16,147166,Systems Administrator I,Quebec,Canada
479,Nelson,Masculino,AlimentÃ­cios,2009-09-08,56465,Programmer IV,Quebec,Canada
480,Miller,Masculino,Eletronicos,2001-02-07,78158,Programmer Analyst I,British Columbia,Canada
481,Moore,Masculino,Joalheria,2013-06-05,62815,Compensation Analyst,Norte,Brasil
482,Harris,Masculino,Brinquedos,2007-06-10,126468,Budget/Accounting Analyst III,Norte,Brasil
483,Brown,Feminino,Beleza,2012-05-10,79419,Senior Developer,Sul,Brasil
484,Little,Masculino,Computadores,2009-03-23,83093,Registered Nurse,Nordeste,Brasil
485,Austin,Feminino,CrianÃ§as,2014-11-03,90797,Help Desk Operator,Nordeste,Brasil
486,Young,Feminino,CrianÃ§as,2008-07-06,78755,Desktop Support Technician,British Columbia,Canada
487,Fox,Feminino,CrianÃ§as,2003-04-18,128726,Business Systems Development Analyst,Sul,Brasil
488,Brooks,Masculino,MÃºsica,2011-12-15,69026,Nuclear Power Engineer,Quebec,Canada
489,Parker,Feminino,Jardim,2014-01-16,78109,Research Nurse,British Columbia,Canada
490,Griffin,Masculino,Filmes,2000-04-08,116480,Nurse Practicioner,British Columbia,Canada
491,Stevens,Feminino,Brinquedos,2004-06-13,108444,Environmental Tech,Nova Scotia,Canada
492,Evans,Masculino,Computadores,2010-02-08,106535,funcionarios Scientist,Nordeste,Brasil
493,Banks,Masculino,Computadores,2008-06-24,137025,Research Nurse,British Columbia,Canada
494,Sullivan,Masculino,Industrial,2005-03-03,71663,Analog Circuit Design manager,Sul,Brasil
495,Black,Feminino,Books,2004-10-08,80073,Senior Developer,Sul,Brasil
496,Andrews,Masculino,Beleza,2008-03-14,40254,Quality Control Specialist,British Columbia,Canada
497,Jenkins,Feminino,AlimentÃ­cios,2011-03-10,80027,VP Sales,Sul,Brasil
498,Gutierrez,Feminino,Jardim,2001-08-22,106994,Technical Writer,Sul,Brasil
499,Hansen,Masculino,Brinquedos,2001-04-29,145559,Office Assistant III,Sudeste,Brasil
500,Rodriguez,Masculino,Industrial,2001-03-21,91994,Actuary,British Columbia,Canada
501,Bailey,Masculino,MÃºsica,2001-08-05,138540,Geologist IV,Nova Scotia,Canada
502,Banks,Feminino,Computadores,2010-10-17,136034,Product Engineer,Norte,Brasil
503,Rose,Feminino,BebÃªs,2004-01-19,127291,Accounting Assistant III,Nova Scotia,Canada
504,Weaver,Masculino,Industrial,2000-03-19,131283,funcionarios Scientist,Norte,Brasil
505,Walker,Masculino,Computadores,2005-06-20,122108,Analog Circuit Design manager,Nova Scotia,Canada
506,Cox,Feminino,Lar,2008-01-01,49048,Sales Associate,Nordeste,Brasil
507,Reed,Feminino,BebÃªs,2012-11-01,97427,Occupational Therapist,Quebec,Canada
508,Marshall,Masculino,Computadores,2007-05-14,90960,Software Test Engineer II,Nova Scotia,Canada
509,Gonzalez,Masculino,SaÃºde,2011-12-30,43986,Geologist IV,Sul,Brasil
510,Lawrence,Masculino,Outdoors,2014-11-21,108748,Senior Editor,Norte,Brasil
511,Medina,Feminino,Industrial,2006-12-03,102149,Sales Representative,British Columbia,Canada
512,Carpenter,Masculino,Outdoors,2008-06-13,133360,Research Nurse,Nova Scotia,Canada
513,Carter,Feminino,Jardim,2004-07-09,70814,Account Representative I,Norte,Brasil
514,Peters,Masculino,AlimentÃ­cios,2010-12-18,132037,Web Developer IV,Quebec,Canada
515,Gomez,Masculino,Roupas,2002-05-01,55747,Human Resources Assistant I,Nordeste,Brasil
516,Stanley,Feminino,Brinquedos,2006-06-09,89324,Systems Administrator IV,Sul,Brasil
517,Carpenter,Masculino,Computadores,2011-02-08,124418,Chief Design Engineer,Nova Scotia,Canada
518,Peters,Feminino,AlimentÃ­cios,2005-12-25,138093,Human Resources Assistant I,Sul,Brasil
519,Hamilton,Masculino,Eletronicos,2003-08-26,141340,Budget/Accounting Analyst III,Norte,Brasil
520,Owens,Masculino,Industrial,2006-06-02,54672,Structural Engineer,Norte,Brasil
521,Williamson,Masculino,Roupas,2003-10-06,118602,Director of Sales,British Columbia,Canada
522,Flores,Masculino,Joalheria,2000-02-04,97745,Electrical Engineer,Nova Scotia,Canada
523,Johnston,Feminino,SaÃºde,2012-06-10,143855,Internal Auditor,British Columbia,Canada
524,Edwards,Feminino,SaÃºde,2009-06-15,43431,Physical Therapy Assistant,Quebec,Canada
525,Payne,Feminino,Ferramentas,2002-03-01,94016,VP Quality Control,Sudeste,Brasil
526,Allen,Feminino,BebÃªs,2011-09-09,66847,Assistant Media Planner,Sudeste,Brasil
527,Richards,Masculino,Roupas,2005-04-20,69705,Senior Developer,Sul,Brasil
528,Cole,Masculino,Esporte,2012-02-08,96739,Product Engineer,Sudeste,Brasil
529,Meyer,Feminino,Jardim,2006-09-01,52956,Senior Developer,Sul,Brasil
530,Reyes,Feminino,Computadores,2012-12-14,71559,Librarian,Nordeste,Brasil
531,Hudson,Masculino,Lar,2010-11-17,143226,Food Chemist,Nova Scotia,Canada
532,Rice,Masculino,Books,2011-02-14,145747,Financial Advisor,Sul,Brasil
533,Castillo,Feminino,Industrial,2013-10-15,72001,Automation Specialist IV,Sudeste,Brasil
534,Harrison,Feminino,MÃºsica,2000-09-20,50308,Compensation Analyst,Quebec,Canada
535,Morris,Feminino,Lar,2007-07-25,131662,Help Desk Operator,Sul,Brasil
536,Castillo,Feminino,CrianÃ§as,2011-05-19,55730,Speech Pathologist,Nova Scotia,Canada
537,Webb,Feminino,Games,2005-02-12,63836,Occupational Therapist,Nordeste,Brasil
538,Freeman,Masculino,CalÃ§ados,2005-10-24,121296,Civil Engineer,Sudeste,Brasil
539,Kelley,Masculino,Filmes,2012-03-20,110660,Senior Financial Analyst,Norte,Brasil
540,Matthews,Masculino,Games,2001-12-19,89114,GIS Technical Architect,British Columbia,Canada
541,Mendoza,Feminino,MÃºsica,2007-08-28,48769,Nurse,British Columbia,Canada
542,Rice,Masculino,MÃºsica,2008-02-01,90069,Assistant Professor,British Columbia,Canada
543,Walker,Feminino,Lar,2013-09-07,120085,Human Resources Assistant III,Quebec,Canada
544,Moore,Feminino,Eletronicos,2007-11-15,41697,Automation Specialist I,Nova Scotia,Canada
545,Lynch,Masculino,CrianÃ§as,2009-05-04,44093,SaÃºde Coach IV,British Columbia,Canada
546,Fox,Feminino,Joalheria,2006-11-01,59294,Senior Editor,Quebec,Canada
547,Moreno,Masculino,Industrial,2013-08-21,140858,Cost Accountant,Nova Scotia,Canada
548,Simpson,Feminino,Brinquedos,2009-01-10,46444,Desktop Support Technician,Quebec,Canada
549,Reynolds,Feminino,Books,2012-09-26,85855,Financial Advisor,Norte,Brasil
550,Watson,Masculino,CalÃ§ados,2000-05-01,72334,Developer IV,Sul,Brasil
551,Cruz,Masculino,MÃºsica,2011-10-04,69246,Web Developer III,Quebec,Canada
552,Gomez,Masculino,Beleza,2011-03-18,107389,Community Outreach Specialist,Sudeste,Brasil
553,George,Masculino,Automotivo,2009-12-16,141505,Associate Professor,Quebec,Canada
554,Frazier,Masculino,Brinquedos,2008-01-06,60318,Engineer I,British Columbia,Canada
555,Bryant,Feminino,Outdoors,2014-06-12,148260,Executive Secretary,Nova Scotia,Canada
556,Ferguson,Feminino,Eletronicos,2006-12-20,73199,Payment Adjustment Coordinator,Sudeste,Brasil
557,Frazier,Masculino,CrianÃ§as,2002-08-26,111244,Environmental Specialist,Quebec,Canada
558,Hudson,Masculino,BebÃªs,2012-03-21,103845,Nurse Practicioner,Nordeste,Brasil
559,Murphy,Feminino,Computadores,2008-10-19,88666,Senior Editor,Nova Scotia,Canada
560,Kim,Masculino,Roupas,2014-01-22,67845,Administrative Officer,Nova Scotia,Canada
561,Rodriguez,Masculino,Esporte,2004-04-08,62527,Recruiter,Nordeste,Brasil
562,Perez,Masculino,Ferramentas,2003-05-17,73412,Librarian,British Columbia,Canada
563,Graham,Masculino,Beleza,2011-04-21,123391,Financial Advisor,Nova Scotia,Canada
564,Martinez,Feminino,SaÃºde,2005-02-23,99508,VP Quality Control,British Columbia,Canada
565,Pierce,Feminino,Joalheria,2014-04-17,55726,Geologist III,Nova Scotia,Canada
566,Lynch,Masculino,Eletronicos,2011-12-10,67140,Systems Administrator III,Sul,Brasil
567,Myers,Feminino,Lar,2010-05-27,139060,Assistant Professor,Nova Scotia,Canada
568,Day,Masculino,Lar,2004-07-20,135993,Geologist IV,Norte,Brasil
569,Little,Feminino,Books,2010-11-12,80788,Programmer I,Norte,Brasil
570,James,Feminino,Roupas,2001-03-21,136377,Software Engineer I,Nova Scotia,Canada
571,Ortiz,Feminino,Eletronicos,2009-06-19,46247,VP Accounting,Sul,Brasil
572,Duncan,Masculino,Automotivo,2014-03-17,45774,Electrical Engineer,Sudeste,Brasil
573,Kennedy,Feminino,Esporte,2010-04-23,100741,Senior Cost Accountant,Nordeste,Brasil
574,Pierce,Masculino,AlimentÃ­cios,2005-09-20,45534,Senior Sales Associate,Nordeste,Brasil
575,Bowman,Masculino,Games,2002-04-26,75399,VP Quality Control,Nova Scotia,Canada
576,Taylor,Masculino,Roupas,2006-07-13,50235,Assistant Media Planner,Nordeste,Brasil
577,Jones,Masculino,BebÃªs,2011-01-27,128048,Programmer III,British Columbia,Canada
578,Lynch,Masculino,Roupas,2006-05-02,111318,Technical Writer,Sul,Brasil
579,Barnes,Feminino,Jardim,2000-12-23,100763,Database Administrator I,Nova Scotia,Canada
580,Weaver,Masculino,Computadores,2012-05-23,54231,Accounting Assistant II,Sul,Brasil
581,Cunningham,Feminino,Esporte,2010-03-25,92334,GIS Technical Architect,Sul,Brasil
582,Ramirez,Masculino,Joalheria,2005-03-16,58111,Research Associate,British Columbia,Canada
583,Hunter,Feminino,CalÃ§ados,2000-12-12,112048,Software Engineer II,British Columbia,Canada
584,Cook,Feminino,MÃºsica,2008-05-13,109404,Chief Design Engineer,Quebec,Canada
585,Lopez,Masculino,Jardim,2007-07-19,138776,Senior Editor,Sudeste,Brasil
586,Olson,Feminino,Lar,2003-07-01,110411,Compensation Analyst,Sul,Brasil
587,Martin,Feminino,Brinquedos,2002-09-07,74973,General Manager,Nova Scotia,Canada
588,Day,Feminino,Ferramentas,2002-10-15,129890,Software Consultant,Norte,Brasil
589,Arnold,Masculino,Filmes,2005-01-27,135786,Account Representative I,Nova Scotia,Canada
590,Allen,Feminino,AlimentÃ­cios,2007-06-15,132998,Business Systems Development Analyst,Sul,Brasil
591,Sims,Feminino,BebÃªs,2014-02-28,84318,Software Test Engineer I,Sudeste,Brasil
592,Duncan,Masculino,CalÃ§ados,2004-04-11,110407,Sales Associate,British Columbia,Canada
593,Evans,Feminino,Lar,2000-06-15,94980,Financial Advisor,Norte,Brasil
594,Chapman,Feminino,Industrial,2004-03-07,125843,Web Designer II,Norte,Brasil
595,Price,Feminino,AlimentÃ­cios,2000-01-27,66180,funcionarios Scientist,British Columbia,Canada
596,Ford,Feminino,Joalheria,2014-11-27,88854,Account Representative I,Norte,Brasil
597,Lynch,Feminino,Beleza,2004-02-10,71448,Electrical Engineer,Nordeste,Brasil
598,Diaz,Feminino,Esporte,2002-11-02,60547,Community Outreach Specialist,Sudeste,Brasil
599,Watkins,Feminino,Outdoors,2010-11-21,128805,Occupational Therapist,British Columbia,Canada
600,Ruiz,Feminino,Outdoors,2006-05-11,96782,Database Administrator II,British Columbia,Canada
601,Lopez,Masculino,SaÃºde,2001-03-12,125944,Office Assistant II,Sudeste,Brasil
602,Henderson,Masculino,Ferramentas,2011-09-17,101937,Teacher,Nova Scotia,Canada
603,Webb,Masculino,Joalheria,2000-12-06,127569,Analyst Programmer,Nova Scotia,Canada
604,Greene,Masculino,Roupas,2004-06-30,104517,Research Assistant III,Sudeste,Brasil
605,Stephens,Feminino,AlimentÃ­cios,2010-12-11,110366,Research Nurse,Quebec,Canada
